preferred_name,entity_type,aliases,first_mention_rule,notes
alpelisib,drug,BYL719; NVP-BYL719,Use alpelisib in prose; mention BYL719 or NVP-BYL719 only when clarifying older preclinical literature.,Approved PI3K-alpha inhibitor with historical development names.
inavolisib,drug,GDC-0077,Use inavolisib in prose; mention GDC-0077 only at first relevant mechanistic or development-code context.,PI3K-alpha inhibitor/degrader development code.
taselisib,drug,GDC-0032,Use taselisib in prose; mention GDC-0032 only when connecting older trial or preclinical literature.,Older beta-sparing PI3K inhibitor development code.
pictilisib,drug,GDC-0941,Use pictilisib in prose; mention GDC-0941 only when needed for older PI3K-pathway inhibitor literature.,Pan-PI3K inhibitor development code.
apitolisib,drug,GDC-0980,Use apitolisib in prose; mention GDC-0980 only when needed for older PI3K/mTOR inhibitor literature.,Dual PI3K/mTOR inhibitor development code.
capivasertib,drug,AZD5363,Use capivasertib in prose; mention AZD5363 only when needed for older AKT-inhibitor literature.,AKT inhibitor development code.
serabelisib,drug,TAK-117; MLN1117; INK1117,Use serabelisib in prose when the cited paper indicates equivalence; preserve the historical code at first mention if ambiguity remains.,PI3K-alpha inhibitor naming varies across older literature.
copanlisib,drug,BAY 80-6946,Use copanlisib in prose; mention BAY 80-6946 only when needed for older literature.,PI3K inhibitor development code.
duvelisib,drug,IPI-145,Use duvelisib in prose; mention IPI-145 only when needed for older literature.,PI3K-delta/gamma inhibitor development code.
STX-478,drug,STX478,Use STX-478 consistently.,Mutant-selective PI3K-alpha inhibitor.
RLY-2608,drug,RLY2608,Use RLY-2608 consistently.,Mutant-selective allosteric PI3K-alpha inhibitor.
PI3K-alpha,protein_or_pathway,PI3Kα; PI3Kalpha; phosphoinositide 3-kinase alpha,Use PI3K-alpha in prose; preserve formal enzyme descriptions only when quoting or defining.,Avoid mixed alpha notation across agents.
p110-alpha,protein_or_pathway,p110α; p110alpha,Use p110-alpha in prose when referring to the catalytic PI3K-alpha subunit.,Avoid mixed alpha notation across mechanistic sections.
