subsection_id,query_id,query,raw_hit_count,collected_count,truncated_by_constraint,sample_size,sample_strategy,sampled_on_scope_count,sampled_noise_count,estimated_precision,dominant_noise_classes,missing_concepts,recall_signals,decision,revision_rationale
SUB001,SUB001-Q001,"(PIK3CA[Title/Abstract] OR PI3K[Title/Abstract]) AND (resistance[Title/Abstract] OR mutation[Title/Abstract]) AND (""PI3K-alpha""[Title/Abstract] OR ""SOLAR-1""[Title/Abstract])",59,59,false,59,all_results,unknown,unknown,unknown,unknown,unknown,target_rows=2;recovered_pmids=0,accept_for_abstract_review,Result count is suitable for abstract-review staging.
SUB001,SUB001-Q002,"(PIK3CA[Title/Abstract] OR PI3K[Title/Abstract] OR ""PI3K-alpha""[Title/Abstract]) AND (resistance[Title/Abstract] OR mutation[Title/Abstract]) AND (""SOLAR-1""[Title/Abstract] OR ""PIK3CA-mutated""[Title/Abstract] OR ""HR-positive""[Title/Abstract])",311,200,true,200,top_relevance_sample,unknown,unknown,unknown,unknown,unknown,target_rows=2;recovered_pmids=0,refine_query,Query returned 311 records; 200 were staged as a top-relevance sample and the controller should refine before treating the subsection set as complete.
SUB001,SUB001-Q003,"(PIK3CA[Title/Abstract] OR PI3K[Title/Abstract] OR ""PI3K-alpha""[Title/Abstract]) AND (resistance[Title/Abstract] OR mutation[Title/Abstract]) AND (""SOLAR-1""[Title/Abstract] OR ""PIK3CA-mutated""[Title/Abstract] OR ""HR-positive""[Title/Abstract])",311,200,true,200,top_relevance_sample,unknown,unknown,unknown,unknown,unknown,target_rows=2;recovered_pmids=0,refine_query,Query returned 311 records; 200 were staged as a top-relevance sample and the controller should refine before treating the subsection set as complete.
SUB001,SUB001-Q004,31091374[PMID] OR 41999684[PMID],2,2,false,2,all_results,unknown,unknown,unknown,unknown,unknown,target_rows=2;recovered_pmids=0,broaden_query,Sparse result count; controller should broaden unless known draft anchors are recovered.
SUB002,SUB002-Q001,"(""PI3K-alpha""[Title/Abstract] OR ""SOLAR-1""[Title/Abstract]) AND inhibition[Title/Abstract] AND (PIK3CA[Title/Abstract] OR ""Post-CDK4/6""[Title/Abstract])",18,18,false,18,all_results,unknown,unknown,unknown,unknown,unknown,target_rows=3;recovered_pmids=0,accept_for_abstract_review,Result count is suitable for abstract-review staging.
SUB002,SUB002-Q002,"(""PI3K-alpha""[Title/Abstract] OR ""SOLAR-1""[Title/Abstract] OR PIK3CA[Title/Abstract]) AND (inhibition[Title/Abstract] OR resistance[Title/Abstract] OR ""resistance/tolerability""[Title/Abstract]) AND (""Post-CDK4/6""[Title/Abstract] OR Alpelisib[Title/Abstract] OR ""Follow-up""[Title/Abstract])",223,200,true,200,top_relevance_sample,unknown,unknown,unknown,unknown,unknown,target_rows=3;recovered_pmids=0,refine_query,Query returned 223 records; 200 were staged as a top-relevance sample and the controller should refine before treating the subsection set as complete.
SUB002,SUB002-Q003,"trial[Title/Abstract] AND (""PI3K-alpha""[Title/Abstract] OR ""SOLAR-1""[Title/Abstract] OR PIK3CA[Title/Abstract]) AND (inhibition[Title/Abstract] OR resistance[Title/Abstract])",204,200,true,200,top_relevance_sample,unknown,unknown,unknown,unknown,unknown,target_rows=3;recovered_pmids=0,refine_query,Query returned 204 records; 200 were staged as a top-relevance sample and the controller should refine before treating the subsection set as complete.
SUB002,SUB002-Q004,31091374[PMID] OR 33246021[PMID] OR 39637900[PMID],3,3,false,3,all_results,unknown,unknown,unknown,unknown,unknown,target_rows=3;recovered_pmids=0,broaden_query,Sparse result count; controller should broaden unless known draft anchors are recovered.
SUB003,SUB003-Q001,"(""STX-478""[Title/Abstract] OR ""RLY-2608""[Title/Abstract]) AND resistance[Title/Abstract] AND (""PI3K-alpha""[Title/Abstract] OR INAVO120[Title/Abstract])",1,1,false,1,all_results,unknown,unknown,unknown,unknown,unknown,target_rows=4;recovered_pmids=0,broaden_query,Sparse result count; controller should broaden unless known draft anchors are recovered.
SUB003,SUB003-Q002,"(""STX-478""[Title/Abstract] OR ""RLY-2608""[Title/Abstract] OR ""PI3K-alpha""[Title/Abstract]) AND resistance[Title/Abstract] AND (INAVO120[Title/Abstract] OR ""Mutant-selective""[Title/Abstract] OR ""PIK3CA-mutated""[Title/Abstract])",6,6,false,6,all_results,unknown,unknown,unknown,unknown,unknown,target_rows=4;recovered_pmids=0,accept_for_abstract_review,Result count is suitable for abstract-review staging.
