subsection_id,query_id,query_type,pubmed_query,required_terms,optional_terms,excluded_terms,expected_result_band,recall_targets,query_rationale
SUB001,SUB001-Q001,high_precision,"(PIK3CA[Title/Abstract] OR PI3K[Title/Abstract]) AND (resistance[Title/Abstract] OR mutation[Title/Abstract]) AND (""PI3K-alpha""[Title/Abstract] OR ""SOLAR-1""[Title/Abstract])",PIK3CA;PI3K;PI3K-alpha;SOLAR-1,PIK3CA-mutated;resistance;alteration;mutation;HR-positive;activation;biomarker-test;genomic/clinical,,6-200,S01-C001;S01-C002,Focused query derived primarily from subsection prose and citation notes.
SUB001,SUB001-Q002,mechanism_expansion,"(PIK3CA[Title/Abstract] OR PI3K[Title/Abstract] OR ""PI3K-alpha""[Title/Abstract]) AND (resistance[Title/Abstract] OR mutation[Title/Abstract]) AND (""SOLAR-1""[Title/Abstract] OR ""PIK3CA-mutated""[Title/Abstract] OR ""HR-positive""[Title/Abstract])",PIK3CA;PI3K,resistance;mutation,,6-200,S01-C001;S01-C002,Mechanism-focused expansion derived from subsection content.
SUB001,SUB001-Q003,context_expansion,"(PIK3CA[Title/Abstract] OR PI3K[Title/Abstract] OR ""PI3K-alpha""[Title/Abstract]) AND (resistance[Title/Abstract] OR mutation[Title/Abstract]) AND (""SOLAR-1""[Title/Abstract] OR ""PIK3CA-mutated""[Title/Abstract] OR ""HR-positive""[Title/Abstract])",PIK3CA;PI3K;PI3K-alpha,SOLAR-1;PIK3CA-mutated;resistance;alteration;mutation,,6-200,S01-C001;S01-C002,Context or assay expansion derived from subsection prose.
SUB001,SUB001-Q004,recall_guard,31091374[PMID] OR 41999684[PMID],,,,1-20,S01-C001;S01-C002,Recover known draft citations and citation anchors.
SUB002,SUB002-Q001,high_precision,"(""PI3K-alpha""[Title/Abstract] OR ""SOLAR-1""[Title/Abstract]) AND inhibition[Title/Abstract] AND (PIK3CA[Title/Abstract] OR ""Post-CDK4/6""[Title/Abstract])",PI3K-alpha;SOLAR-1;PIK3CA;Post-CDK4/6,inhibition;Alpelisib;Follow-up;Real-world;Andre;benefit;biomarker-selected;durable-benefit,,6-200,S02-C001;S02-C002;S02-C003,Focused query derived primarily from subsection prose and citation notes.
SUB002,SUB002-Q002,mechanism_expansion,"(""PI3K-alpha""[Title/Abstract] OR ""SOLAR-1""[Title/Abstract] OR PIK3CA[Title/Abstract]) AND (inhibition[Title/Abstract] OR resistance[Title/Abstract] OR ""resistance/tolerability""[Title/Abstract]) AND (""Post-CDK4/6""[Title/Abstract] OR Alpelisib[Title/Abstract] OR ""Follow-up""[Title/Abstract])",PI3K-alpha;SOLAR-1,inhibition;resistance;resistance/tolerability,,6-200,S02-C001;S02-C002;S02-C003,Mechanism-focused expansion derived from subsection content.
SUB002,SUB002-Q003,context_expansion,"trial[Title/Abstract] AND (""PI3K-alpha""[Title/Abstract] OR ""SOLAR-1""[Title/Abstract] OR PIK3CA[Title/Abstract]) AND (inhibition[Title/Abstract] OR resistance[Title/Abstract])",PI3K-alpha;SOLAR-1;PIK3CA,Post-CDK4/6;inhibition;Alpelisib;Follow-up;Real-world,,6-200,S02-C001;S02-C002;S02-C003,Context or assay expansion derived from subsection prose.
SUB002,SUB002-Q004,recall_guard,31091374[PMID] OR 33246021[PMID] OR 39637900[PMID],,,,1-20,S02-C001;S02-C002;S02-C003,Recover known draft citations and citation anchors.
SUB003,SUB003-Q001,high_precision,"(""STX-478""[Title/Abstract] OR ""RLY-2608""[Title/Abstract]) AND resistance[Title/Abstract] AND (""PI3K-alpha""[Title/Abstract] OR INAVO120[Title/Abstract])",STX-478;RLY-2608;PI3K-alpha;INAVO120,Mutant-selective;PIK3CA-mutated;resistance;FDA;next-generation;PubMed-indexed;Therapeutic-Index;combination,,6-200,S03-C001;S03-C002;S03-C003;S03-C004,Focused query derived primarily from subsection prose and citation notes.
SUB003,SUB003-Q002,mechanism_expansion,"(""STX-478""[Title/Abstract] OR ""RLY-2608""[Title/Abstract] OR ""PI3K-alpha""[Title/Abstract]) AND resistance[Title/Abstract] AND (INAVO120[Title/Abstract] OR ""Mutant-selective""[Title/Abstract] OR ""PIK3CA-mutated""[Title/Abstract])",STX-478;RLY-2608,resistance,,6-200,S03-C001;S03-C002;S03-C003;S03-C004,Mechanism-focused expansion derived from subsection content.
SUB003,SUB003-Q003,context_expansion,"combination[Title/Abstract] AND (""STX-478""[Title/Abstract] OR ""RLY-2608""[Title/Abstract] OR ""PI3K-alpha""[Title/Abstract]) AND resistance[Title/Abstract]",STX-478;RLY-2608;PI3K-alpha,INAVO120;Mutant-selective;PIK3CA-mutated;resistance;FDA,,6-200,S03-C001;S03-C002;S03-C003;S03-C004,Context or assay expansion derived from subsection prose.
SUB003,SUB003-Q004,recall_guard,40845250[PMID] OR 40454641[PMID] OR 37623743[PMID],,,,1-20,S03-C001;S03-C002;S03-C003;S03-C004,Recover known draft citations and citation anchors.
SUB004,SUB004-Q001,high_precision,"(PTEN[Title/Abstract] OR ""PI3K-alpha""[Title/Abstract]) AND (resistance[Title/Abstract] OR loss[Title/Abstract] OR acquired[Title/Abstract]) AND (BYL719[Title/Abstract] OR PI3K[Title/Abstract])",PTEN;PI3K-alpha;resistance;BYL719,PI3K;loss;acquired;acquired-resistance;alpelisib/inavolisib;alteration;model-system;pathway,,6-200,S04-C001;S04-C002,Focused query derived primarily from subsection prose and citation notes.
SUB004,SUB004-Q002,mechanism_expansion,"(PTEN[Title/Abstract] OR ""PI3K-alpha""[Title/Abstract] OR BYL719[Title/Abstract]) AND (resistance[Title/Abstract] OR loss[Title/Abstract] OR acquired[Title/Abstract] OR ""acquired-resistance""[Title/Abstract]) AND (PI3K[Title/Abstract] OR ""alpelisib/inavolisib""[Title/Abstract] OR ""model-system""[Title/Abstract])",PTEN;PI3K-alpha,resistance;loss;acquired;acquired-resistance,,6-200,S04-C001;S04-C002,Mechanism-focused expansion derived from subsection content.
SUB004,SUB004-Q003,context_expansion,"patient[Title/Abstract] AND (PTEN[Title/Abstract] OR ""PI3K-alpha""[Title/Abstract] OR BYL719[Title/Abstract]) AND (resistance[Title/Abstract] OR loss[Title/Abstract])",PTEN;PI3K-alpha;resistance,BYL719;PI3K;loss;acquired;acquired-resistance,,6-200,S04-C001;S04-C002,Context or assay expansion derived from subsection prose.
SUB004,SUB004-Q004,recall_guard,25409150[PMID] OR 37916958[PMID],,,,1-20,S04-C001;S04-C002,Recover known draft citations and citation anchors.
SUB005,SUB005-Q001,high_precision,"(PIK3CA[Title/Abstract] OR ""RLY-2608""[Title/Abstract]) AND (resistance[Title/Abstract] OR mutations[Title/Abstract] OR mutation[Title/Abstract]) AND (""on-target""[Title/Abstract] OR ""next-generation""[Title/Abstract])",PIK3CA;RLY-2608;resistance;Secondary,on-target;mutations;next-generation;kinase;mutant-selective;mutation;resistance-overcoming;Varkaris,,6-200,S05-C001;S05-C002,Focused query derived primarily from subsection prose and citation notes.
