subsection_id,chapter_index,chapter_title,subsection_index,subsection_title,draft_citation_ids,draft_known_pmids,subsection_scope_note
SUB001,1,1: Clinical And Pharmacologic Frame,1.1,"PIK3CA Alteration As Entry Point, Not Resistance Explanation",S01-C001;S01-C002;S01-C003;S01-C004,31091374;41967638;36321996,"PIK3CA alteration provides the main clinical entry point for PI3K-alpha inhibition, especially in HR-positive/HER2-negative advanced breast cancer. SOLAR-1 showed that adding alpelisib to fulvestrant improved progression-free survival in th"
SUB002,1,1: Clinical And Pharmacologic Frame,1.2,Approved Alpelisib Benefit And The Durability Problem,S02-C001;S02-C002;S02-C003;S02-C004,31091374;33246021,"Alpelisib established that selective PI3K-alpha inhibition can be clinically useful, but the same clinical experience makes the durability problem visible. A median progression-free survival benefit does not imply durable disease control fo"
SUB003,2,2: Inhibitor Landscape And Therapeutic Index,2.1,Inavolisib And The Clinical Triplet Context,S03-C001;S03-C002;S03-C003;S03-C004,40454641;40845250;42496151,"Inavolisib should be reviewed as a clinically advanced PI3K-alpha inhibitor in a specific regimen, not as generic proof that next-generation inhibitors overcome alpelisib resistance. INAVO120 tested inavolisib with palbociclib and fulvestra"
SUB004,2,2: Inhibitor Landscape And Therapeutic Index,2.2,"STX-478, RLY-2608, And Mutant-Selective Hypotheses",S04-C001;S04-C002;S04-C003;S04-C004,,"STX-478 and RLY-2608 are important because they ask whether inhibitor design can improve the therapeutic index or overcome specific resistance mutations. A mutant-selective or allosteric inhibitor might spare wild-type PI3K-alpha biology, r"
SUB005,3,3: Genetic And Pathway Reactivation Mechanisms,3.1,PTEN Loss And p110-beta Compensation,S05-C001;S05-C002;S05-C003;S05-C004,25409150,PTEN loss is a central resistance candidate because it can restore downstream pathway signaling despite PI3K-alpha inhibition. The strongest draft anchor is the patient-derived BYL719 resistance study in which metastatic lesions evolved con
SUB006,3,3: Genetic And Pathway Reactivation Mechanisms,3.2,Secondary PIK3CA Mutations And On-Target Resistance,S06-C001;S06-C002;S06-C003;S06-C004,,"Secondary PIK3CA mutations are conceptually attractive because they could directly alter inhibitor binding or kinase regulation. For PI3K-alpha inhibitors, the review should separate acquired secondary mutations from baseline multiple PIK3C"
SUB007,3,3: Genetic And Pathway Reactivation Mechanisms,3.3,AKT/mTOR Output Persistence,S07-C001;S07-C002;S07-C003;S07-C004,,"Some resistant tumors may escape PI3K-alpha inhibition by maintaining signaling downstream of PI3K. This can involve activating AKT alterations, p110-beta-driven AKT reactivation, mTORC1 activation, nutrient-sensing pathway alterations, or "
SUB008,4,"4: Bypass, Cellular State, And Tumor Context",4.1,"RTK, HER-family, IGF1R, And MAPK/ERK Bypass",S08-C001;S08-C002;S08-C003;S08-C004,,"Bypass signaling is likely to be one of the broadest resistance categories. Receptor tyrosine kinases can restore PI3K pathway signaling, activate MAPK/ERK, or create parallel survival circuits when PI3K-alpha is inhibited. HER-family signa"
SUB009,4,"4: Bypass, Cellular State, And Tumor Context",4.2,Endocrine Therapy Crosstalk And Prior CDK4/6 Exposure,S09-C001;S09-C002;S09-C003;S09-C004,31091374;40454641,"Most approved clinical use of PI3K-alpha inhibition sits inside endocrine-resistant HR-positive breast cancer, so endocrine biology is not background noise. ESR1 alterations, ER signaling adaptation, CDK4/6 inhibitor exposure, and endocrine"
SUB010,4,"4: Bypass, Cellular State, And Tumor Context",4.3,"Heterogeneity, Clonal Selection, And Patient-Derived Evidence",S10-C001;S10-C002;S10-C003;S10-C004,25409150,Resistance in patients may not follow one linear pathway. Separate metastatic lesions can evolve distinct genetic solutions; ctDNA can reveal convergent pathway alterations; and baseline subclones may expand under therapy. This is one reaso
SUB011,5,"5: Clinical Trials, Combinations, And Evidence Synthesis",5.1,"Reading Successful, Failed, And Combination Trials",S11-C001;S11-C002;S11-C003;S11-C004,31091374;40845250,"The user specifically wants clinical trial papers across phases, including successful and failed studies. This is essential because a trial can teach different things depending on its design. A positive trial can establish benefit in a defi"
SUB012,5,"5: Clinical Trials, Combinations, And Evidence Synthesis",5.2,Biomarkers And Practical Resistance Taxonomy,S12-C001;S12-C002;S12-C003;S12-C004,41967638;36321996,"A useful final review should organize resistance mechanisms into a practical taxonomy rather than a long list. One axis is timing: intrinsic resistance, adaptive early escape, and acquired resistance after initial benefit. A second axis is "
