subsection_id,chapter_title,subsection_title,original_subsection_path,paper_packet_path,work_order_path,rewritten_path,rewrite_status,notes
SUB001,1: Clinical And Pharmacologic Frame,"PIK3CA Alteration As Entry Point, Not Resistance Explanation",artifacts/07_subsection_rewrite/01_inputs/SUB001.original.md,artifacts/06_subsection_rag_retrieval/04_paper_packets/SUB001.md,artifacts/07_subsection_rewrite/02_work_orders/SUB001.md,artifacts/07_subsection_rewrite/03_rewritten_subsections/SUB001.md,prepared,Ready for a writing agent. Rewritten subsection not yet validated.
SUB002,1: Clinical And Pharmacologic Frame,Approved Alpelisib Benefit And The Durability Problem,artifacts/07_subsection_rewrite/01_inputs/SUB002.original.md,artifacts/06_subsection_rag_retrieval/04_paper_packets/SUB002.md,artifacts/07_subsection_rewrite/02_work_orders/SUB002.md,artifacts/07_subsection_rewrite/03_rewritten_subsections/SUB002.md,prepared,Ready for a writing agent. Rewritten subsection not yet validated.
SUB003,2: Inhibitor Landscape And Therapeutic Index,Inavolisib And The Clinical Triplet Context,artifacts/07_subsection_rewrite/01_inputs/SUB003.original.md,artifacts/06_subsection_rag_retrieval/04_paper_packets/SUB003.md,artifacts/07_subsection_rewrite/02_work_orders/SUB003.md,artifacts/07_subsection_rewrite/03_rewritten_subsections/SUB003.md,prepared,Ready for a writing agent. Rewritten subsection not yet validated.
SUB004,2: Inhibitor Landscape And Therapeutic Index,"STX-478, RLY-2608, And Mutant-Selective Hypotheses",artifacts/07_subsection_rewrite/01_inputs/SUB004.original.md,artifacts/06_subsection_rag_retrieval/04_paper_packets/SUB004.md,artifacts/07_subsection_rewrite/02_work_orders/SUB004.md,artifacts/07_subsection_rewrite/03_rewritten_subsections/SUB004.md,prepared,Ready for a writing agent. Rewritten subsection not yet validated.
SUB005,3: Genetic And Pathway Reactivation Mechanisms,PTEN Loss And p110-beta Compensation,artifacts/07_subsection_rewrite/01_inputs/SUB005.original.md,artifacts/06_subsection_rag_retrieval/04_paper_packets/SUB005.md,artifacts/07_subsection_rewrite/02_work_orders/SUB005.md,artifacts/07_subsection_rewrite/03_rewritten_subsections/SUB005.md,prepared,Ready for a writing agent. Rewritten subsection not yet validated.
SUB006,3: Genetic And Pathway Reactivation Mechanisms,Secondary PIK3CA Mutations And On-Target Resistance,artifacts/07_subsection_rewrite/01_inputs/SUB006.original.md,artifacts/06_subsection_rag_retrieval/04_paper_packets/SUB006.md,artifacts/07_subsection_rewrite/02_work_orders/SUB006.md,artifacts/07_subsection_rewrite/03_rewritten_subsections/SUB006.md,prepared,Ready for a writing agent. Rewritten subsection not yet validated.
SUB007,3: Genetic And Pathway Reactivation Mechanisms,AKT/mTOR Output Persistence,artifacts/07_subsection_rewrite/01_inputs/SUB007.original.md,artifacts/06_subsection_rag_retrieval/04_paper_packets/SUB007.md,artifacts/07_subsection_rewrite/02_work_orders/SUB007.md,artifacts/07_subsection_rewrite/03_rewritten_subsections/SUB007.md,prepared,Ready for a writing agent. Rewritten subsection not yet validated.
SUB008,"4: Bypass, Cellular State, And Tumor Context","RTK, HER-family, IGF1R, And MAPK/ERK Bypass",artifacts/07_subsection_rewrite/01_inputs/SUB008.original.md,artifacts/06_subsection_rag_retrieval/04_paper_packets/SUB008.md,artifacts/07_subsection_rewrite/02_work_orders/SUB008.md,artifacts/07_subsection_rewrite/03_rewritten_subsections/SUB008.md,prepared,Ready for a writing agent. Rewritten subsection not yet validated.
SUB009,"4: Bypass, Cellular State, And Tumor Context",Endocrine Therapy Crosstalk And Prior CDK4/6 Exposure,artifacts/07_subsection_rewrite/01_inputs/SUB009.original.md,artifacts/06_subsection_rag_retrieval/04_paper_packets/SUB009.md,artifacts/07_subsection_rewrite/02_work_orders/SUB009.md,artifacts/07_subsection_rewrite/03_rewritten_subsections/SUB009.md,prepared,Ready for a writing agent. Rewritten subsection not yet validated.
SUB010,"4: Bypass, Cellular State, And Tumor Context","Heterogeneity, Clonal Selection, And Patient-Derived Evidence",artifacts/07_subsection_rewrite/01_inputs/SUB010.original.md,artifacts/06_subsection_rag_retrieval/04_paper_packets/SUB010.md,artifacts/07_subsection_rewrite/02_work_orders/SUB010.md,artifacts/07_subsection_rewrite/03_rewritten_subsections/SUB010.md,prepared,Ready for a writing agent. Rewritten subsection not yet validated.
SUB011,"5: Clinical Trials, Combinations, And Evidence Synthesis","Reading Successful, Failed, And Combination Trials",artifacts/07_subsection_rewrite/01_inputs/SUB011.original.md,artifacts/06_subsection_rag_retrieval/04_paper_packets/SUB011.md,artifacts/07_subsection_rewrite/02_work_orders/SUB011.md,artifacts/07_subsection_rewrite/03_rewritten_subsections/SUB011.md,prepared,Ready for a writing agent. Rewritten subsection not yet validated.
SUB012,"5: Clinical Trials, Combinations, And Evidence Synthesis",Biomarkers And Practical Resistance Taxonomy,artifacts/07_subsection_rewrite/01_inputs/SUB012.original.md,artifacts/06_subsection_rag_retrieval/04_paper_packets/SUB012.md,artifacts/07_subsection_rewrite/02_work_orders/SUB012.md,artifacts/07_subsection_rewrite/03_rewritten_subsections/SUB012.md,prepared,Ready for a writing agent. Rewritten subsection not yet validated.
