subsection_id,query_id,query_type,pubmed_query,required_terms,optional_terms,excluded_terms,expected_result_band,recall_targets,semantic_evidence_need,semantic_entity_terms,semantic_mechanism_terms,semantic_endpoint_or_context_terms,query_false_positive_risks,semantic_query_design_status,semantic_query_designer,redesign_parent_query_id,redesign_trigger_count_status,redesign_trigger_raw_hit_count,redesign_semantic_work_order,query_rationale
SUB001,SUB001-Q001,biomarker_context,"(PIK3CA[Title/Abstract] OR PI3Kalpha[Title/Abstract] OR ""PI3K alpha""[Title/Abstract] OR ""PI3K-alpha""[Title/Abstract]) AND (alpelisib[Title/Abstract] OR BYL719[Title/Abstract] OR taselisib[Title/Abstract]) AND (breast cancer[Title/Abstract] OR solid tumor[Title/Abstract])",PIK3CA;PI3K-alpha;alpelisib;BYL719;taselisib,biomarker;co-alteration;mutation spectrum;breast cancer;solid tumor;clinical outcome,,10-300 unique candidates after deduplication,S01-C001;S01-C002;S01-C003,Find PubMed records that directly support or bound this subsection evidence need: LLM must semantically redesign or approve before PubMed execution.,PIK3CA;PI3K-alpha;alpelisib;BYL719;taselisib,biomarker;co-alteration;mutation spectrum,breast cancer;solid tumor;clinical outcome,generic pathway papers without inhibitor exposure,llm_semantic_designed,codex_stage3_query_designer,,,,,"LLM-designed PubMed query from subsection prose, citation register notes, and structured instruction."
SUB002,SUB002-Q001,approved_agent_trial,"(alpelisib[Title/Abstract] OR BYL719[Title/Abstract] OR SOLAR-1[Title/Abstract] OR BYLieve[Title/Abstract]) AND (PIK3CA[Title/Abstract] OR ""PI3K alpha""[Title/Abstract]) AND (trial[Title/Abstract] OR survival[Title/Abstract] OR safety[Title/Abstract] OR resistance[Title/Abstract])",alpelisib;BYL719;SOLAR-1;BYLieve;PIK3CA,progression;resistance;toxicity;durability;clinical trial;survival;safety;post-CDK4/6,,10-300 unique candidates after deduplication,S02-C001;S02-C002,Find PubMed records that directly support or bound this subsection evidence need: LLM must semantically redesign or approve before PubMed execution.,alpelisib;BYL719;SOLAR-1;BYLieve;PIK3CA,progression;resistance;toxicity;durability,clinical trial;survival;safety;post-CDK4/6,toxicity-only papers without resistance interpretation,llm_semantic_designed,codex_stage3_query_designer,,,,,"LLM-designed PubMed query from subsection prose, citation register notes, and structured instruction."
SUB003,SUB003-Q001,inavolisib_clinical,"(inavolisib[Title/Abstract] OR GDC-0077[Title/Abstract] OR INAVO120[Title/Abstract]) AND (PIK3CA[Title/Abstract] OR ""PI3K alpha""[Title/Abstract])",inavolisib;GDC-0077;INAVO120;PIK3CA,endocrine resistance;PI3K-alpha inhibition;clinical trial;palbociclib;fulvestrant;survival;safety,,10-300 unique candidates after deduplication,S03-C001;S03-C002;S03-C003,Find PubMed records that directly support or bound this subsection evidence need: LLM must semantically redesign or approve before PubMed execution.,inavolisib;GDC-0077;INAVO120;PIK3CA,endocrine resistance;PI3K-alpha inhibition,clinical trial;palbociclib;fulvestrant;survival;safety,access or review papers without trial data,llm_semantic_designed,codex_stage3_query_designer,,,,,"LLM-designed PubMed query from subsection prose, citation register notes, and structured instruction."
SUB004,SUB004-Q001,mutant_selective_agents,"(""STX-478""[Title/Abstract] OR STX478[Title/Abstract] OR ""RLY-2608""[Title/Abstract] OR RLy2608[Title/Abstract] OR ""mutant-selective""[Title/Abstract]) AND (PIK3CA[Title/Abstract] OR ""PI3K alpha""[Title/Abstract] OR PI3Kalpha[Title/Abstract])",STX-478;STX478;RLY-2608;RLy2608;PIK3CA,mutant selective;allosteric;resistance mutation;preclinical;clinical;therapeutic index,,10-300 unique candidates after deduplication,,Find PubMed records that directly support or bound this subsection evidence need: LLM must semantically redesign or approve before PubMed execution.,STX-478;STX478;RLY-2608;RLy2608;PIK3CA,mutant selective;allosteric;resistance mutation,preclinical;clinical;therapeutic index,company-only or non-PubMed material,llm_semantic_designed,codex_stage3_query_designer,,,,,"LLM-designed PubMed query from subsection prose, citation register notes, and structured instruction."
SUB005,SUB005-Q001,pten_resistance,"(PTEN[Title/Abstract] OR ""p110 beta""[Title/Abstract] OR p110beta[Title/Abstract]) AND (alpelisib[Title/Abstract] OR BYL719[Title/Abstract] OR ""PI3K alpha""[Title/Abstract]) AND resistance[Title/Abstract]",PTEN;p110-beta;alpelisib;BYL719;PI3K-alpha,loss;compensation;resistance;reactivation;patient;model;xenograft;ctDNA,,10-300 unique candidates after deduplication,S05-C001,Find PubMed records that directly support or bound this subsection evidence need: LLM must semantically redesign or approve before PubMed execution.,PTEN;p110-beta;alpelisib;BYL719;PI3K-alpha,loss;compensation;resistance;reactivation,patient;model;xenograft;ctDNA,baseline PTEN studies without inhibitor exposure,llm_semantic_designed,codex_stage3_query_designer,,,,,"LLM-designed PubMed query from subsection prose, citation register notes, and structured instruction."
SUB006,SUB006-Q001,secondary_pik3ca,"(PIK3CA[Title/Abstract] AND (secondary[Title/Abstract] OR acquired[Title/Abstract] OR resistance[Title/Abstract]) AND (alpelisib[Title/Abstract] OR inavolisib[Title/Abstract] OR ""PI3K alpha""[Title/Abstract] OR ""RLY-2608""[Title/Abstract]))",PIK3CA;alpelisib;inavolisib;RLY-2608,secondary mutation;acquired resistance;binding;ctDNA;structural;engineered model,,10-300 unique candidates after deduplication,,Find PubMed records that directly support or bound this subsection evidence need: LLM must semantically redesign or approve before PubMed execution.,PIK3CA;alpelisib;inavolisib;RLY-2608,secondary mutation;acquired resistance;binding,ctDNA;structural;engineered model,baseline mutation catalog without treatment pressure,llm_semantic_designed,codex_stage3_query_designer,,,,,"LLM-designed PubMed query from subsection prose, citation register notes, and structured instruction."
SUB007,SUB007-Q001,akt_mtor_compensation,"((AKT[Title/Abstract] OR mTOR[Title/Abstract] OR mTORC1[Title/Abstract] OR pS6[Title/Abstract] OR ""4E-BP1""[Title/Abstract]) AND (alpelisib[Title/Abstract] OR BYL719[Title/Abstract] OR ""PI3K alpha""[Title/Abstract]) AND resistance[Title/Abstract])",AKT;mTOR;mTORC1;pS6;4E-BP1;alpelisib,pathway reactivation;compensation;resistance;pharmacodynamic;combination;model,,10-300 unique candidates after deduplication,,Find PubMed records that directly support or bound this subsection evidence need: LLM must semantically redesign or approve before PubMed execution.,AKT;mTOR;mTORC1;pS6;4E-BP1;alpelisib,pathway reactivation;compensation;resistance,pharmacodynamic;combination;model,general mTOR papers not tied to PI3K-alpha inhibition,llm_semantic_designed,codex_stage3_query_designer,,,,,"LLM-designed PubMed query from subsection prose, citation register notes, and structured instruction."
SUB008,SUB008-Q001,bypass_signaling,"((HER2[Title/Abstract] OR ERBB[Title/Abstract] OR EGFR[Title/Abstract] OR IGF1R[Title/Abstract] OR MAPK[Title/Abstract] OR ERK[Title/Abstract] OR MEK[Title/Abstract]) AND (alpelisib[Title/Abstract] OR BYL719[Title/Abstract] OR ""PI3K alpha""[Title/Abstract]) AND resistance[Title/Abstract])",HER2;ERBB;EGFR;IGF1R;MAPK;ERK;MEK;alpelisib,bypass;reactivation;resistance;crosstalk;combination;cell line;xenograft;patient,,10-300 unique candidates after deduplication,,Find PubMed records that directly support or bound this subsection evidence need: LLM must semantically redesign or approve before PubMed execution.,HER2;ERBB;EGFR;IGF1R;MAPK;ERK;MEK;alpelisib,bypass;reactivation;resistance;crosstalk,combination;cell line;xenograft;patient,broad RTK papers without PI3K-alpha drug pressure,llm_semantic_designed,codex_stage3_query_designer,,,,,"LLM-designed PubMed query from subsection prose, citation register notes, and structured instruction."
SUB009,SUB009-Q001,endocrine_cdk_context,((alpelisib[Title/Abstract] OR inavolisib[Title/Abstract] OR BYL719[Title/Abstract]) AND (endocrine[Title/Abstract] OR ESR1[Title/Abstract] OR CDK4[Title/Abstract] OR CDK6[Title/Abstract]) AND (resistance[Title/Abstract] OR progression[Title/Abstract] OR trial[Title/Abstract])),alpelisib;inavolisib;BYL719;ESR1;CDK4/6,endocrine resistance;progression;combination;HR-positive;HER2-negative;trial;prior therapy,,10-300 unique candidates after deduplication,S09-C001;S09-C003,Find PubMed records that directly support or bound this subsection evidence need: LLM must semantically redesign or approve before PubMed execution.,alpelisib;inavolisib;BYL719;ESR1;CDK4/6,endocrine resistance;progression;combination,HR-positive;HER2-negative;trial;prior therapy,endocrine-only studies without PI3K-alpha inhibitor,llm_semantic_designed,codex_stage3_query_designer,,,,,"LLM-designed PubMed query from subsection prose, citation register notes, and structured instruction."
SUB010,SUB010-Q001,patient_derived_evolution,"((ctDNA[Title/Abstract] OR biopsy[Title/Abstract] OR autopsy[Title/Abstract] OR ""patient-derived""[Title/Abstract]) AND (alpelisib[Title/Abstract] OR BYL719[Title/Abstract] OR inavolisib[Title/Abstract] OR ""PI3K alpha""[Title/Abstract]) AND resistance[Title/Abstract])",ctDNA;biopsy;autopsy;patient-derived;alpelisib;inavolisib,acquired resistance;clonal evolution;heterogeneity;patient specimen;serial sampling;rapid autopsy,,10-300 unique candidates after deduplication,S10-C001,Find PubMed records that directly support or bound this subsection evidence need: LLM must semantically redesign or approve before PubMed execution.,ctDNA;biopsy;autopsy;patient-derived;alpelisib;inavolisib,acquired resistance;clonal evolution;heterogeneity,patient specimen;serial sampling;rapid autopsy,untreated profiling without resistance timing,llm_semantic_designed,codex_stage3_query_designer,,,,,"LLM-designed PubMed query from subsection prose, citation register notes, and structured instruction."
