paper_id,pmid,pmcid,doi,title,ingestion_status,source_format,access_source,source_url,source_path,normalized_path,text_char_count,section_count,pmc_xml_status,pdf_status,parser_status,user_pdf_required,notes
pmid-23903756,23903756,PMC3935768,10.1126/scitranslmed.3005747,mTORC1 inhibition is required for sensitivity to PI3K p110α inhibitors in PIK3CA-mutant breast cancer.,normalized,pmc_xml,ncbi_pmc,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pmc&id=3935768&retmode=xml,artifacts/04_primary_full_text_ingestion/03_pmc/01_raw_xml/3935768.xml,artifacts/04_primary_full_text_ingestion/03_pmc/02_normalized/pmid-23903756.json,24667,8,usable,not_attempted,not_attempted,0,Normalized from pmc_xml.
pmid-24249715,24249715,PMC3902650,10.1158/1535-7163.MCT-13-0518,Enhanced PI3K p110α signaling confers acquired lapatinib resistance that can be effectively reversed by a p110α-selective PI3K inhibitor.,normalized,pmc_xml,ncbi_pmc,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pmc&id=3902650&retmode=xml,artifacts/04_primary_full_text_ingestion/03_pmc/01_raw_xml/3902650.xml,artifacts/04_primary_full_text_ingestion/03_pmc/02_normalized/pmid-24249715.json,25690,9,usable,not_attempted,not_attempted,0,Normalized from pmc_xml.
pmid-24263233,24263233,PMC3849569,10.1038/emm.2013.115,Phosphoproteomic analysis identifies activated MET-axis PI3K/AKT and MAPK/ERK in lapatinib-resistant cancer cell line.,normalized,pmc_xml,ncbi_pmc,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pmc&id=3849569&retmode=xml,artifacts/04_primary_full_text_ingestion/03_pmc/01_raw_xml/3849569.xml,artifacts/04_primary_full_text_ingestion/03_pmc/02_normalized/pmid-24263233.json,10318,3,usable,not_attempted,not_attempted,0,Normalized from pmc_xml.
pmid-24879796,24879796,,10.1158/1078-0432.CCR-13-2769,Targeting PI3K/mTOR overcomes resistance to HER2-targeted therapy independent of feedback activation of AKT.,user_pdf_required,none,,,,,0,0,missing,download_failed,not_attempted,1,Download returned empty content from https://aacr.figshare.com/articles/journal_contribution/Supplementary_Figure_1_from_Targeting_PI3K_mTOR_Overcomes_Resistance_to_HER2-Targeted_Therapy_Independent_of_Feedback_Activation_of_AKT/22449734/1/files/39900800.pdf. No usable PMC XML or automatically accessible PDF normalized.
pmid-25409150,25409150,PMC4326538,10.1038/nature13948,Convergent loss of PTEN leads to clinical resistance to a PI(3)Kα inhibitor.,normalized,pmc_xml,ncbi_pmc,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pmc&id=4326538&retmode=xml,artifacts/04_primary_full_text_ingestion/03_pmc/01_raw_xml/4326538.xml,artifacts/04_primary_full_text_ingestion/03_pmc/02_normalized/pmid-25409150.json,12981,2,usable,not_attempted,not_attempted,0,Normalized from pmc_xml.
pmid-25528022,25528022,,10.1007/s10549-014-3239-5,A preclinical evaluation of the PI3K alpha/delta dominant inhibitor BAY 80-6946 in HER2-positive breast cancer models with acquired resistance to the HER2-targeted therapies trastuzumab and lapatinib.,user_pdf_required,none,,,,,0,0,missing,download_failed,not_attempted,1,Download returned empty content from https://figshare.com/articles/journal_contribution/A_preclinical_evaluation_of_the_PI3K_alpha_delta_dominant_inhibitor_BAY_80-6946_in_HER2-positive_breast_cancer_models_with_acquired_resistance_to_the_HER2-targeted_therapies_trastuzumab_and_lapatinib_/10787282. No usable PMC XML or automatically accessible PDF normalized.
pmid-25873175,25873175,PMC4398915,10.1016/j.ccell.2015.03.010,AXL mediates resistance to PI3Kα inhibition by activating the EGFR/PKC/mTOR axis in head and neck and esophageal squamous cell carcinomas.,normalized,pmc_xml,ncbi_pmc,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pmc&id=4398915&retmode=xml,artifacts/04_primary_full_text_ingestion/03_pmc/01_raw_xml/4398915.xml,artifacts/04_primary_full_text_ingestion/03_pmc/02_normalized/pmid-25873175.json,26489,9,usable,not_attempted,not_attempted,0,Normalized from pmc_xml.
pmid-25877889,25877889,PMC4433148,10.1126/scitranslmed.aaa4442,PI3K inhibition results in enhanced estrogen receptor function and dependence in hormone receptor-positive breast cancer.,normalized,pmc_xml,ncbi_pmc,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pmc&id=4433148&retmode=xml,artifacts/04_primary_full_text_ingestion/03_pmc/01_raw_xml/4433148.xml,artifacts/04_primary_full_text_ingestion/03_pmc/02_normalized/pmid-25877889.json,24979,7,usable,not_attempted,not_attempted,0,Normalized from pmc_xml.
pmid-27048245,27048245,PMC4820873,10.1186/s13058-016-0697-1,Activation of IGF1R/p110β/AKT/mTOR confers resistance to α-specific PI3K inhibition.,normalized,pmc_xml,ncbi_pmc,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pmc&id=4820873&retmode=xml,artifacts/04_primary_full_text_ingestion/03_pmc/01_raw_xml/4820873.xml,artifacts/04_primary_full_text_ingestion/03_pmc/02_normalized/pmid-27048245.json,26535,10,usable,not_attempted,not_attempted,0,Normalized from pmc_xml.
pmid-27126994,27126994,PMC5085926,10.1158/1078-0432.CCR-16-0134,"A Phase Ib Study of Alpelisib (BYL719), a PI3Kα-Specific Inhibitor, with Letrozole in ER+/HER2- Metastatic Breast Cancer.",normalized,pmc_xml,ncbi_pmc,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pmc&id=5085926&retmode=xml,artifacts/04_primary_full_text_ingestion/03_pmc/01_raw_xml/5085926.xml,artifacts/04_primary_full_text_ingestion/03_pmc/02_normalized/pmid-27126994.json,21147,11,usable,not_attempted,not_attempted,0,Normalized from pmc_xml.
