claim_id,subsection_id,claim_text,cited_paper_ids,citation_ids,verification_status,corrected_claim,evidence_summary,mismatch_type,reviewer_notes
"SUB009-CL001","SUB009","In the PIK3CA-mutant cohort, the FDA approval summary reports investigator-assessed median PFS of 11.0 months with alpelisib plus fulvestrant versus 5.7 months with placebo plus fulvestrant, but this should be read as an endocrine-resistant, biomarker-selected setting rather than a clean acquired PI3Kalpha-resistance experiment `pmid-33168657`.","pmid-33168657","SUB009-C001","supported","","The FDA approval summary of SOLAR-1 reports regular approval after progression on or after endocrine-based therapy and investigator-assessed PFS of 11.0 versus 5.7 months in the PIK3CA-mutant cohort. Limitation: regulatory randomized trial summary, not a mechanistic acquired PI3Kalpha-resistance experiment.","none","Supported by the FDA approval summary."
"SUB009-CL002","SUB009","A clinical review of SOLAR-1 similarly emphasizes that patients had prior aromatase inhibitor exposure and endocrine-resistant disease, with improved response and clinical benefit in the PIK3CA-mutant cohort `pmid-32782489`.","pmid-32782489","SUB009-C002","supported","","The clinical review describes SOLAR-1 patients as endocrine-resistant after relapse during endocrine therapy or within 12 months after completion, discusses aromatase inhibitor exposure in the endocrine-resistance context, and reports improved PFS, overall response, and clinical response in the PIK3CA-mutated cohort. Limitation: secondary review rather than original trial report.","none","Supported by the review text, with terminology using clinical response/benefit language."
"SUB009-CL003","SUB009","SOLAR-1 enrolled very few patients previously treated with CDK4/6 inhibitors; one commentary gives the PIK3CA-mutant prior-CDK4/6 figure as 5.9 percent and frames BYLieve as the prospective attempt to address the now-common sequence of progression after CDK4/6 inhibitor plus endocrine therapy `pmid-32817061`.","pmid-32817061","SUB009-C003","supported","","The commentary states that only a small number of PIK3CA-mutant HR-positive/HER2-negative SOLAR-1 patients had prior CDK4/6 inhibitor therapy, giving 5.9% or 20 patients, and describes BYLieve as a phase 2 non-comparative trial after progression on or after CDK4/6 inhibitor plus endocrine therapy. Limitation: commentary-level source.","none","Supported by the cited commentary."
"SUB009-CL004","SUB009","Cohort C, a later-line population in which about two thirds had prior CDK4/6 inhibitor exposure, had median PFS of 5.6 months `pmid-35348782`.","pmid-35348782","SUB009-C004","supported","","The BYLieve update describes Cohort C after prior chemotherapy or endocrine therapy, notes that two-thirds of patients, specifically 67.5%, had prior CDK4/6 inhibitor treatment, and reports median PFS of 5.6 months with alpelisib plus fulvestrant. Limitation: update article and non-comparative cohort.","none","Supported by the cited BYLieve update."
"SUB009-CL005","SUB009","In the German PRAEGNANT registry, 57 patients received alpelisib plus fulvestrant and 55 had prior CDK4/6 inhibitor therapy, directly reflecting post-CDK4/6 use outside the pivotal trial population `pmid-41925922`.","pmid-41925922","SUB009-C005","supported","","The prospective German PRAEGNANT registry analysis identified 57 advanced breast cancer patients receiving alpelisib plus fulvestrant, of whom 55 had prior CDK4/6 inhibitor therapy, explicitly motivated by limited evidence in the modern CDK4/6 inhibitor context. Limitation: small observational real-world cohort.","none","Supported by the cited registry paper."
"SUB009-CL006","SUB009","In an MSK retrospective cohort of 115 PIK3CA-mutant HR-positive metastatic breast cancer patients who received both everolimus and alpelisib in sequence, 71 percent had prior CDK4/6 exposure; prior CDK4/6 inhibitor use and greater treatment-line burden were associated with worse time to treatment failure, and endocrine partners differed across sequences `pmid-41620612`.","pmid-41620612","SUB009-C006","supported","","The MSK single-center retrospective sequencing study included 115 PIK3CA-mutant HR-positive metastatic breast cancer patients treated sequentially with everolimus and alpelisib, reported 71% prior CDK4/6 inhibitor exposure, found prior CDK4/6 use and more prior treatment lines associated with worse TTF in uni- and multivariable analyses, and described differing endocrine partners across sequences. Limitation: retrospective heterogeneous sequencing study.","none","Supported by the cited paper."
"SUB009-CL007","SUB009","A post-CDK4/6 systematic review and network meta-analysis therefore appropriately cautions that cross-trial comparisons are limited by design and eligibility differences, including whether prior CDK4/6 inhibitor or chemotherapy exposure was required or permitted; it also notes that SOLAR-1 has too little prior-CDK4/6 exposure for reliable conclusions in that setting, while BYLieve was excluded from the network meta-analysis because it was non-comparative `pmid-41079023`.","pmid-41079023","SUB009-C007","supported","","The systematic review and network meta-analysis states that cross-trial comparisons are limited by study design and eligibility differences including prior CDK4/6 inhibitor or chemotherapy exposure, notes SOLAR-1 had only 20 prior-CDK4/6 patients in the PIK3CA-mutant cohort, and says BYLieve was excluded from the NMA because it was non-comparative. Limitation: network-level indirect comparison rather than head-to-head sequencing trial.","none","Supported by the cited review."
"SUB009-CL008","SUB009","A longitudinal phase I/II study of alpelisib plus an aromatase inhibitor found a 52 percent clinical benefit rate among 44 evaluable patients but identified PTEN loss-of-function mutations in 25 percent of resistant cases and expansion of ESR1 activating mutations during treatment, associated with resistance `pmid-32864625`.","pmid-32864625","SUB009-C008","supported","","The longitudinal alpelisib plus aromatase inhibitor phase I/II study reports a 52% clinical benefit rate among 44 evaluable patients, loss-of-function PTEN mutations in 25% of resistant patients, and ESR1 activating mutation expansion in number and allele fraction during treatment associated with resistance. Limitation: alpelisib plus AI cohort, not fulvestrant-based SOLAR-1.","none","Supported by the cited clinical and ctDNA study."
"SUB009-CL009","SUB009","BYLieve subgroup reporting found no clear ESR1 interaction in Cohorts A or C, although Cohort B showed a numerical trend toward shorter PFS with ESR1 mutation, supporting the need to track endocrine partner and ESR1 status rather than treating all progression on alpelisib-endocrine therapy as PI3K escape `pmid-35348782`.","pmid-35348782","SUB009-C004","supported","","The BYLieve update says ESR1 mutation analyses found no interaction in Cohorts A or C and a numerical trend toward shorter PFS with ESR1 mutations in Cohort B, where endocrine partners differed by cohort. Limitation: exploratory subgroup update with limited mechanistic resolution.","none","Supported by the cited BYLieve update."
"SUB009-CL010","SUB009","Earlier alpelisib plus letrozole phase Ib data also belong in this lineage: the regimen was tolerable at 300 mg daily and active in endocrine-refractory ER-positive metastatic breast cancer, especially PIK3CA-mutant disease, but it predates routine first-line CDK4/6 sequencing `pmid-27126994`.","pmid-27126994","SUB009-C009","supported","","The phase Ib alpelisib plus letrozole study enrolled 26 endocrine-refractory ER-positive/HER2-negative metastatic breast cancer patients, established 300 mg daily as the MTD with letrozole, and reported clinical benefit enriched in PIK3CA-mutant tumors. Limitation: small early-phase pre-routine CDK4/6 sequencing context; the paper does not address modern post-CDK4/6 treatment directly.","none","Supported, with the CDK4/6-era framing inferred from the 2016 early-phase context."
