subsection_id,paper_id,PMID,PMCID,DOI,title,journal,publication_year,article_type,abstract_review_decision,evidence_role,draft_access_status,verified_access_status,venue_trust_label,source_query_ids,reason
SUB001,pmid-23903756,23903756,PMC3935768,10.1126/scitranslmed.3005747,mTORC1 inhibition is required for sensitivity to PI3K p110α inhibitors in PIK3CA-mutant breast cancer.,Science translational medicine,2013,"Journal Article;Research Support, Non-U.S. Gov't",include_context,primary_mechanism,unknown,pmc_available,unknown,SUB001-Q001,"Useful for framing PI3K-alpha biology, clinical use, testing, or resistance heterogeneity, but not the cleanest primary proof for this subsection claim."
SUB001,pmid-25002028,25002028,PMC4155598,10.1016/j.ccr.2014.05.020,CDK 4/6 inhibitors sensitize PIK3CA mutant breast cancer to PI3K inhibitors.,Cancer cell,2014,"Clinical Trial, Phase I;Journal Article;Research Support, Non-U.S. Gov't",include_context,primary_mechanism,unknown,pmc_available,unknown,SUB001-Q001,"Useful for framing PI3K-alpha biology, clinical use, testing, or resistance heterogeneity, but not the cleanest primary proof for this subsection claim."
SUB001,pmid-26793003,26793003,PMC4708174,10.2147/OTT.S89967,PI3K inhibitors as new cancer therapeutics: implications for clinical trial design.,OncoTargets and therapy,2016,Journal Article;Review,include_context,review_or_background,unknown,pmc_available,unknown,SUB001-Q001,"Useful for framing PI3K-alpha biology, clinical use, testing, or resistance heterogeneity, but not the cleanest primary proof for this subsection claim."
SUB001,pmid-27048245,27048245,PMC4820873,10.1186/s13058-016-0697-1,Activation of IGF1R/p110β/AKT/mTOR confers resistance to α-specific PI3K inhibition.,Breast cancer research : BCR,2016,"Journal Article;Research Support, Non-U.S. Gov't",include_context,primary_mechanism,unknown,pmc_available,unknown,SUB001-Q001,"Useful for framing PI3K-alpha biology, clinical use, testing, or resistance heterogeneity, but not the cleanest primary proof for this subsection claim."
SUB001,pmid-27604488,27604488,PMC5050154,10.1158/2159-8290.CD-16-0305,Systematic Functional Characterization of Resistance to PI3K Inhibition in Breast Cancer.,Cancer discovery,2016,Journal Article,include_context,primary_mechanism,unknown,pmc_available,unknown,SUB001-Q001,"Useful for framing PI3K-alpha biology, clinical use, testing, or resistance heterogeneity, but not the cleanest primary proof for this subsection claim."
SUB001,pmid-28382169,28382169,PMC5381259,10.7150/thno.17830,Integration of Receptor Tyrosine Kinases Determines Sensitivity to PI3Kα-selective Inhibitors in Breast Cancer.,Theranostics,2017,Journal Article,include_context,primary_mechanism,unknown,pmc_available,unknown,SUB001-Q001,"Useful for framing PI3K-alpha biology, clinical use, testing, or resistance heterogeneity, but not the cleanest primary proof for this subsection claim."
SUB001,pmid-28486103,28486103,unknown,10.1016/j.ccell.2017.04.010,Tackling Resistance to PI3K Inhibition by Targeting the Epigenome.,Cancer cell,2017,Journal Article;Comment,include_context,primary_mechanism,unknown,abstract_available,unknown,SUB001-Q001,"Useful for framing PI3K-alpha biology, clinical use, testing, or resistance heterogeneity, but not the cleanest primary proof for this subsection claim."
SUB001,pmid-29252036,29252036,unknown,10.1080/13543784.2018.1417384,PI3K inhibition to overcome endocrine resistance in breast cancer.,Expert opinion on investigational drugs,2018,Journal Article;Review,include_context,review_or_background,unknown,abstract_available,unknown,SUB001-Q001,"Useful for framing PI3K-alpha biology, clinical use, testing, or resistance heterogeneity, but not the cleanest primary proof for this subsection claim."
SUB001,pmid-29284706,29284706,PMC5856622,10.1158/1078-0432.CCR-17-2141,"PIK3CA C2 Domain Deletions Hyperactivate Phosphoinositide 3-kinase (PI3K), Generate Oncogene Dependence, and Are Exquisitely Sensitive to PI3Kα Inhibitors.",Clinical cancer research : an official journal of the American Association for Cancer Research,2017,"Journal Article;Research Support, N.I.H., Extramural;Research Support, Non-U.S. Gov't",include_context,clinical_or_translational,unknown,pmc_available,unknown,SUB001-Q001,"Useful for framing PI3K-alpha biology, clinical use, testing, or resistance heterogeneity, but not the cleanest primary proof for this subsection claim."
SUB001,pmid-29850984,29850984,unknown,10.1007/s10549-018-4792-0,Phase I study of alpelisib (BYL-719) and trastuzumab emtansine (T-DM1) in HER2-positive metastatic breast cancer (MBC) after trastuzumab and taxane therapy.,Breast cancer research and treatment,2018,"Clinical Trial, Phase I;Journal Article",include_context,primary_mechanism,unknown,abstract_available,unknown,SUB001-Q001,"Useful for framing PI3K-alpha biology, clinical use, testing, or resistance heterogeneity, but not the cleanest primary proof for this subsection claim."
