subsection_id,paper_id,PMID,PMCID,DOI,title,why_full_text_needed,download_priority,user_action
SUB008,pmid-21278786,21278786,PMC3107390,10.1038/onc.2010.626,PI3K inhibition results in enhanced HER signaling and acquired ERK dependency in HER2-overexpressing breast cancer.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB007,pmid-24351425,24351425,PMC3974833,10.4161/cbt.27311,ERK2-dependent reactivation of Akt mediates the limited response of tumor cells with constitutive K-RAS activity to PI3K inhibition.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB012,pmid-24405121,24405121,unknown,10.1111/bjh.12734,"PI3KCA plays a major role in multiple myeloma and its inhibition with BYL719 decreases proliferation, synergizes with other therapies and overcomes stroma-induced resistance.",Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB017,pmid-24608574,24608574,unknown,10.1158/1535-7163.MCT-13-0865,Characterization of the novel and specific PI3Kα inhibitor NVP-BYL719 and development of the patient stratification strategy for clinical trials.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB008,pmid-24895459,24895459,unknown,10.1158/1078-0432.CCR-13-3377,Cotargeting of epidermal growth factor receptor and PI3K overcomes PI3K-Akt oncogenic dependence in pancreatic ductal adenocarcinoma.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB008,pmid-25053989,25053989,PMC4091530,10.18632/genesandcancer.10,Amphiregulin and PTEN evoke a multimodal mechanism of acquired resistance to PI3K inhibition.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB004;SUB010;SUB018,pmid-25409150,25409150,PMC4326538,10.1038/nature13948,Convergent loss of PTEN leads to clinical resistance to a PI(3)Kα inhibitor.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB008,pmid-25528022,25528022,unknown,10.1007/s10549-014-3239-5,A preclinical evaluation of the PI3K alpha/delta dominant inhibitor BAY 80-6946 in HER2-positive breast cancer models with acquired resistance to the HER2-targeted therapies trastuzumab and lapatinib.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB008;SUB018,pmid-25873175,25873175,PMC4398915,10.1016/j.ccell.2015.03.010,AXL mediates resistance to PI3Kα inhibition by activating the EGFR/PKC/mTOR axis in head and neck and esophageal squamous cell carcinomas.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB008,pmid-26500061,26500061,PMC4846581,10.1038/onc.2015.406,"PI3K-p110α mediates resistance to HER2-targeted therapy in HER2+, PTEN-deficient breast cancers.",Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB008,pmid-26640141,26640141,PMC4896860,10.1038/onc.2015.377,PIK3CA(H1047R)- and Her2-initiated mammary tumors escape PI3K dependency by compensatory activation of MEK-ERK signaling.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB006,pmid-27048245,27048245,PMC4820873,10.1186/s13058-016-0697-1,Activation of IGF1R/p110β/AKT/mTOR confers resistance to α-specific PI3K inhibition.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB017;SUB018,pmid-27604488,27604488,PMC5050154,10.1158/2159-8290.CD-16-0305,Systematic Functional Characterization of Resistance to PI3K Inhibition in Breast Cancer.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB017,pmid-28382169,28382169,PMC5381259,10.7150/thno.17830,Integration of Receptor Tyrosine Kinases Determines Sensitivity to PI3Kα-selective Inhibitors in Breast Cancer.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB002,pmid-29401002,29401002,PMC5920739,10.1200/JCO.2017.72.7107,Phosphatidylinositol 3-Kinase α-Selective Inhibition With Alpelisib (BYL719) in PIK3CA-Altered Solid Tumors: Results From the First-in-Human Study.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB002,pmid-29850984,29850984,unknown,10.1007/s10549-018-4792-0,Phase I study of alpelisib (BYL-719) and trastuzumab emtansine (T-DM1) in HER2-positive metastatic breast cancer (MBC) after trastuzumab and taxane therapy.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB002,pmid-30167089,30167089,PMC6114962,10.18632/oncotarget.25854,"A Phase Ib, open-label, dose-finding study of alpelisib in combination with paclitaxel in patients with advanced solid tumors.",Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
SUB008,pmid-30237504,30237504,PMC6148236,10.1038/s41419-018-1025-8,IGF1R upregulation confers resistance to isoform-specific inhibitors of PI3K in PIK3CA-driven ovarian cancer.,Primary evidence selected by semantic abstract review; full-text availability and usefulness must be resolved in the next step.,high,resolve_full_text_in_next_step
