paper_id,pmid,pmcid,doi,title,source_format,raw_chars,narrative_chars,retention_ratio,kept_section_count,excluded_section_count,excluded_char_count,chunk_count,warning_flags,review_recommendation,kept_section_titles,excluded_section_titles
pmid-25409150,25409150,PMC4326538,10.1038/nature13948,Convergent loss of PTEN leads to clinical resistance to a PI(3)Kα inhibitor.,pmc_xml,19914,12981,0.652,2,8,5252,20,few_kept_sections;possible_abstract_or_body_only,inspect_for_possible_overfiltering,Abstract; Introduction,Methods [methods_heading]; Renilla Luciferase [inside_methods_block]; PTEN#1 [inside_methods_block]; PTEN#2 [inside_methods_block]; Patient-derived xenografts and IHC [inside_methods_block]; Whole genome and whole exome sequencing [inside_methods_block]; Targeted exome sequencing (MSK-IMPACT) [inside_methods_block]; Statistical analysis [methods_heading]
pmid-32494066,32494066,,10.1038/s41586-020-2175-2,Landscape and function of multiple mutations within individual oncogenes.,pdf,60142,24144,0.401,6,11,27748,39,,pass,Abstract; Introduction; Selection pattern of MMs in PIK3CA; Widespread biased selection for MMs; Lineage specificity of oncogenic MMs; Functional relevance of MMs,"Online content [end_matter_or_non_narrative_heading]; Methods [methods_heading]; Data set preparation [inside_methods_block]; Oncogenes, TSGs and NFGs [inside_methods_block]; Identification of MM + oncogenes by permutation [inside_methods_block]; Hotspot/functional mutation analysis [inside_methods_block]; Enrichment of mutational combinations [inside_methods_block]; Determination of cis and trans phase of MMs [inside_methods_block]; Association with clinical and genetic information [inside_methods_block]; CCLE cell line data [inside_methods_block]; Article [empty_after_caption_or_tail_filter]"
pmid-36892268,36892268,PMC10552898,10.1002/1878-0261.13416,"ER+, HER2- advanced breast cancer treated with taselisib and fulvestrant: genomic landscape and associated clinical outcomes.",pmc_xml,46490,19260,0.414,6,15,19415,31,,pass,Abstract; Introduction; Genomic landscape of EOT ctDNA in participants who experienced clinical benefit from study treatment; Paired baseline and EOT ctDNA analysis of PIK3CAmut participants who experienced clinical benefit from study treatment; Discussion; Discussion,Study design and participants [methods_heading]; Plasma ctDNA collection [inside_methods_block]; Comprehensive genomic profiling [inside_methods_block]; Statistical analyses [inside_methods_block]; Analysis population and participant demographics [inside_methods_block]; Genomic landscape of baseline ctDNA [inside_methods_block]; Genomic analysis of baseline ctDNA and association with clinical outcomes [inside_methods_block]; PIK3CAmut cohort [inside_methods_block]; PIK3CA NMD cohort [inside_methods_block]; Baseline tumour fraction estimate and clinical outcomes [inside_methods_block]; PIK3CAmut cohort [inside_methods_block]; PIK3CA NMD cohort [inside_methods_block]; Conflict of interest [end_matter_or_non_narrative_heading]; Author contributions [end_matter_or_non_narrative_heading]; Peer review [after_discussion_end_matter_guard]
pmid-24895459,24895459,,10.1158/1078-0432.CCR-13-3377,Cotargeting of epidermal growth factor receptor and PI3K overcomes PI3K-Akt oncogenic dependence in pancreatic ductal adenocarcinoma.,pdf,40281,17549,0.436,6,11,14407,28,,pass,Abstract; Introduction; PDAC cell lines and inhibitors; Cell proliferation; Dual treatment erlotinib þ BYL reduced tumor volume in vivo; Discussion,Immunofluorescence (confocal microscopy) [methods_heading]; RTK phosphoarray and Western blotting [inside_methods_block]; Translational Relevance [inside_methods_block]; Cell-cycle assay (flow cytometry) [inside_methods_block]; Apoptosis assay (flow cytometry) [inside_methods_block]; Clonogenic assay (anchorage-dependent growth) [inside_methods_block]; Migration assay [inside_methods_block]; In vivo human xenograft tumors and immunohistochemistry [inside_methods_block]; Statistical analysis [methods_heading]; Effects of EGFR-IGFIR and EGFR-PI3K DBs in vitro [inside_methods_block]; Disclosure of Potential Conflicts of Interest [after_discussion_end_matter_guard]
pmid-34544753,34544753,PMC9762331,10.1158/2159-8290.CD-21-0072,RTK-Dependent Inducible Degradation of Mutant PI3Kα Drives GDC-0077 (Inavolisib) Efficacy.,pmc_xml,71136,31334,0.440,9,22,27009,49,,pass,Abstract; Introduction; PI3K Inhibitor Potency in PIK3CA-Mutant Cells; In Vivo Efficacy of GDC-0077; Taselisib and GDC-0077 Induce Mutant p110a Degradation; p85b Potentiates p110a Degradation by Recruiting p110a to the Membrane; Taselisib- and GDC-0077–Induced Mutant p110a Degradation Is Dependent on RTK Activity; p110a Mutant–Degrading Inhibitors Provide More Sustained Benefit in HER2-Positive versus HER2-Negative p110a-Mutant Cancers; Discussion,Chemical Reagents [after_discussion_end_matter_guard]; Antibody Reagents [after_discussion_end_matter_guard]; pPRAS40 ELISA [after_discussion_end_matter_guard]; Viability Assay CellTiter-Glo [after_discussion_end_matter_guard]; Nucleosome ELISA [after_discussion_end_matter_guard]; Cell Lines and Cell Culture [methods_heading]; CRISPR Engineering of HCC1954 Cells [inside_methods_block]; siRNA Transfection [inside_methods_block]; Western Blots [inside_methods_block]; Subcellular Fractionation [inside_methods_block]; Immunoprecipitation and Pulldown [inside_methods_block]; RNA Isolation and PIK3CA Allele–Specific qRT-PCR [inside_methods_block]; Intracellular Drug Concentration [inside_methods_block]; PI3K ADP-Glo Assays for Ki Measurement [inside_methods_block]; Kinetic Solubility [inside_methods_block]; Plasma Protein Binding [inside_methods_block]; Madin-Darby Canine Kidney Cell Permeability [inside_methods_block]; Drug Half-Life in Vivo [inside_methods_block]; Pulse-Chase [inside_methods_block]; Animal Studies [methods_heading]; Mass Spectrometry [inside_methods_block]; Authors' Disclosures [inside_methods_block]
pmid-40295072,40295072,,10.21873/anticanres.17567,Development of Acquired Resistance in Alpelisib-treated Gastric Cancer Cells With PIK3CA Mutations and Overcoming Strategies.,pdf,40179,17836,0.444,7,6,17810,34,,pass,"Abstract; Introduction; Loss of PTEN function causes acquired alpelisib resistance; Loss of PTEN leads to activation of SRC, STAT1, AKT, and PRAS40 phosphorylation in acquired alpelisib-resistant SNU601 and AGS cells; Screening of PI3K or AKT inhibitors was conducted to examine whether they could overcome acquired alpelisibresistance in SNU601-R and AGS-R cells. To investigate another strategy of inhibiting the PI3K and AKT signaling pathways, we treated SNU601-R and AGS-R cells with Figure 3. Protein expression of JAK/STAT and AKT signaling pathways in acquired alpelisib-resistant cells. (A) JAK/STAT phosphorylation array analysis was performed in SNU601-P and -R cells, as well as AGS-P and -R cells (n=2). (B) AKT phosphorylation array analysis was conducted in SNU601-P and -R cells, as well as AGS-P and -R cells (n=2). (C) For; Discussion; Discussion","Materials and Methods [methods_heading]; Antibodies and reagents [inside_methods_block]; Evaluation of alpelisib cytotoxicity in parental and acquired alpelisib-resistant SNU601 and AGS cells. (A) SNU601 parent and acquired alpelisib-resistant cells and (B) AGS parent and acquired alpelisib-resistant cells were seeded in 384-well plates and treated with alpelisib at the indicated concentrations (n=4). After 3 days of incubation, the antiproliferative effect was assessed using the CellTiter-Glo ® luminescent cell viability assay [inside_methods_block]; Identification of PTEN loss through whole exome sequencing in SNU601-R and AGS-R cells. (A) In SNU601-R cells, PTEN loss was characterized by a copy number loss accompanied by a p.R74fs frameshift deletion. (B) In AGS-R cells, both homologous alleles containing the PTEN locus were completely lost [protocol_or_procedural_section]; SN38 combined with capivasertib demonstrated notable cytotoxic activity in SNU601-R and AGS-R cells [end_matter_or_non_narrative_heading]; Western blot analysis was performed in SNU601-R and AGS-R cells using specific antibodies to detect the expression of indicated proteins. (B) [methods_heading]"
pmid-37044095,37044095,PMC10140479,10.1016/j.xcrm.2023.101002,N-acetylcysteine overcomes NF1 loss-driven resistance to PI3Kα inhibition in breast cancer.,pmc_xml,94355,42311,0.448,8,42,51340,72,,pass,Abstract; Introduction; Parallel in vivo screens identify NF1 loss as a resistance-enhancing event in PI3Kα inhibition; Loss of NF1 reduces sensitivity to PI3Kα inhibition in vitro and in vivo; NF1-depleted cells have reduced reactive oxygen species (ROS) levels and lower mitochondrial respiration; NAC treatment circumvents resistance to PI3Kα inhibition; NAC synergizes with PI3Kα inhibition and dampens mTOR signaling; Discussion,Limitations of the study [after_discussion_end_matter_guard]; Key resources table [end_matter_or_non_narrative_heading]; Lead contact [after_discussion_end_matter_guard]; Material availability [after_discussion_end_matter_guard]; Cell lines and organoids [methods_heading]; Animal experiments [inside_methods_block]; Transgenic animals [inside_methods_block]; NF1 mutations in public breast cancer datasets [inside_methods_block]; Doubling time calculation [inside_methods_block]; Drugs [inside_methods_block]; Generation of stable shRNA cell lines [end_matter_or_non_narrative_heading]; Cloning of CRISPR vectors for NF1 KO [inside_methods_block]; Knockout with transient vectors [inside_methods_block]; Generation of lentivirus [inside_methods_block]; Infection of T47D and MCF7 cancer cells [inside_methods_block]; Infection of PDX-derived cancer cells [inside_methods_block]; D drug response of organoids [after_discussion_end_matter_guard]; Colony formation assay [inside_methods_block]; Cell cycle analysis [inside_methods_block]; Quantification of MitoSOX and ROS-DCFDA [inside_methods_block]; Quantification of mitochondrial content [inside_methods_block]; Quantification of GSSG/GSH levels [inside_methods_block]; Seahorse experiments [inside_methods_block]; Immunoblotting [inside_methods_block]; Quantitative real-time PCR [inside_methods_block]; Tracking of indels by decomposition [inside_methods_block]; Sample preparation [inside_methods_block]; Data acquisition of phosphorylated peptides [inside_methods_block]; Data acquisition of TMT peptides [inside_methods_block]; Phosphoproteome data analysis [inside_methods_block]; TMT data analysis [inside_methods_block]; Analysis [inside_methods_block]; Quantitative insertion site sequencing [inside_methods_block]; Mapping and transposon integration sites [inside_methods_block]; Integration site quantification [inside_methods_block]; Association of integration sites with genes [inside_methods_block]; Enrichment of unique integration sites [inside_methods_block]; Cell RNA isolation and library preparation [inside_methods_block]; Tumor RNA isolation and library preparation [inside_methods_block]; Alignment and differential gene expression [inside_methods_block]; Motif activity response analysis [after_discussion_end_matter_guard]; Quantification and statistical analysis [inside_methods_block]
pmid-32864625,32864625,PMC7450824,10.1038/s43018-020-0047-1,Alterations in PTEN and ESR1 promote clinical resistance to alpelisib plus aromatase inhibitors.,pmc_xml,50752,23226,0.458,6,14,24139,39,,pass,Abstract; Introduction; Safety Findings; Response evaluation; ctDNA and tissue analyses of pre- and post-progression samples; Discussion,"Study population [methods_heading]; Dose escalation and MTD [inside_methods_block]; Clinical trial eligibility [after_discussion_end_matter_guard]; Study design [methods_heading]; Safety and radiographic assessments [after_discussion_end_matter_guard]; Tumor tissue sequencing [inside_methods_block]; Cell-free DNA extraction, library preparation, and sequencing [inside_methods_block]; Bioinformatics analysis and variant detection [inside_methods_block]; ctDNA fraction and cancer cell fraction assessment [inside_methods_block]; Mutational signatures from hypermutated patients [after_discussion_end_matter_guard]; cfDNA digital droplet PCR [inside_methods_block]; Generation of ESR1 Y537S knock in MCF7 cell line [inside_methods_block]; Animal Studies [methods_heading]; Statistics and Reproducibility [methods_heading]"
pmid-40382983,40382983,,10.1016/j.drup.2025.101251,MicroRNA-mediated PTEN downregulation as a novel non-genetic mechanism of acquired resistance to PI3Kα inhibitors of head & neck squamous cell carcinoma.,pdf,66057,31878,0.483,10,19,23632,53,,pass,Abstract; Introduction; PDX response calls; Organoid generation; Expression of PTEN favours the response to the PI3K inhibitor alpelisib in HNSCC cells; Acquired resistance to alpelisib relies on the activation of the c-MYC/miR-17-92/PTEN axis in HNSCC cells; PLK-1 inhibitors override microRNA-dependent PTEN downregulation in resistance to PIK3α inhibitors in HNSCC cells; Rigosertib overrides the resistance of HNSCC PDX-and PDO-derived organoids to PI3K inhibitors; Discussion; Discussion,Cell culture and treatments [methods_heading]; Generation of alpelisib-resistant Detroit562 cells [inside_methods_block]; Cell transfection [inside_methods_block]; RNA extraction and expression analysis [methods_heading]; Digital PCR [inside_methods_block]; Determination of the genetic profiles and analysis of the results [inside_methods_block]; Dual-luciferase reporter assay [inside_methods_block]; Cell viability assay [inside_methods_block]; Lysate preparation and immunoblotting analysis [inside_methods_block]; ELISA assay [inside_methods_block]; Clonogenic assays [inside_methods_block]; Chromatin immunoprecipitation (ChIP) [inside_methods_block]; PDX models of HNSCC [inside_methods_block]; Spheroid and organoid viability assays [protocol_or_procedural_section]; Bioinformatics analysis miRNA expression data from PDXs [inside_methods_block]; Gene expression and protein expression data from the HNSCC TCGA [inside_methods_block]; Phosphoprotein profiling [inside_methods_block]; Alpelisib-dependent modulation of microRNAs distinguishes responder from non-responder HNSCC PDXs [inside_methods_block]; Not applicable [after_discussion_end_matter_guard]
pmid-42373848,42373848,,10.1038/s41598-026-57970-9,A phase II study of alpelisib and capecitabine in patients with previously treated metastatic colorectal cancer (KCSG-CO21-04).,pdf,33034,16045,0.486,19,5,9771,32,,pass,Abstract; Introduction; A R T I C L E I N P R E S S; A R T I C L E I N P R E S S; Patients; A R T I C L E I N P R E S S; Efficacy; Ethics approval and consent to participate; Patient characteristics; Efficacy; Safety; A R T I C L E I N P R E S S; Overview and sample collection; Baseline genomic alterations; A R T I C L E I N P R E S S; Molecular Response Assessment; A R T I C L E I N P R E S S; Pathway level molecular analysis; Discussion,Study design [methods_heading]; A R T I C L E I N P R E S S [after_discussion_end_matter_guard]; A R T I C L E I N P R E S S [after_discussion_end_matter_guard]; A R T I C L E I N P R E S S [after_discussion_end_matter_guard]; A R T I C L E I N P R E S S [after_discussion_end_matter_guard]
