subsection_id,query_id,iteration,run_status,result_count,count_status,controller_action,next_query_id,notes
SUB001,SUB001-Q001,1,run,283,acceptable,accept_for_abstract_review,,Result count is suitable for abstract-review staging. Subsection unique candidate count is 200; target range is 10-300.
SUB002,SUB002-Q001,1,run,243,acceptable,accept_for_abstract_review,,Result count is suitable for abstract-review staging. Subsection unique candidate count is 200; target range is 10-300.
SUB003,SUB003-Q001,1,run,51,acceptable,accept_for_abstract_review,,Result count is suitable for abstract-review staging. Subsection unique candidate count is 51; target range is 10-300.
SUB004,SUB004-Q001,1,run,25,acceptable,accept_for_abstract_review,,Result count is suitable for abstract-review staging. Subsection unique candidate count is 25; target range is 10-300.
SUB005,SUB005-Q001,1,run,35,acceptable,accept_for_abstract_review,,Result count is suitable for abstract-review staging. Subsection unique candidate count is 35; target range is 10-300.
SUB006,SUB006-Q001,1,run,140,acceptable,accept_for_abstract_review,,Result count is suitable for abstract-review staging. Subsection unique candidate count is 140; target range is 10-300.
SUB007,SUB007-Q001,1,run,130,acceptable,accept_for_abstract_review,,Result count is suitable for abstract-review staging. Subsection unique candidate count is 130; target range is 10-300.
SUB008,SUB008-Q001,1,run,113,acceptable,accept_for_abstract_review,,Result count is suitable for abstract-review staging. Subsection unique candidate count is 113; target range is 10-300.
SUB009,SUB009-Q001,1,run,144,acceptable,accept_for_abstract_review,,Result count is suitable for abstract-review staging. Subsection unique candidate count is 144; target range is 10-300.
SUB010,SUB010-Q001,1,run,53,acceptable,accept_for_abstract_review,,Result count is suitable for abstract-review staging. Subsection unique candidate count is 53; target range is 10-300.
SUB011,SUB011-Q001,1,run,293,acceptable,accept_for_abstract_review,,Result count is suitable for abstract-review staging. Subsection unique candidate count is 200; target range is 10-300.
SUB012,SUB012-Q001,1,run,235,acceptable,accept_for_abstract_review,,Result count is suitable for abstract-review staging. Subsection unique candidate count is 200; target range is 10-300.
