subsection_id,chapter_title,subsection_title,query_source,query_text,embedding_model,lexical_limit,semantic_limit
SUB001,1: Clinical And Pharmacologic Frame,"PIK3CA Alteration As Entry Point, Not Resistance Explanation",draft_subsection_prose + citation_clues + subsection_title + chapter_title,"PIK3CA alteration provides the main clinical entry point for PI3K-alpha inhibition, especially in HR-positive/HER2-negative advanced breast cancer. SOLAR-1 showed that adding alpelisib to fulvestrant improved progression-free survival in the PIK3CA-mutated cohort, making PIK3CA mutation a treatment-selection biomarker rather than a resistance mechanism by itself. A review on resistance should therefore separate biomarker eligibility from the biological events that emerge after treatment pressure. This distinction matters because PIK3CA-mutant tumors are heterogeneous. Some tumors may depend strongly on PI3K-alpha signaling, while others carry co-alterations or adaptive programs that blunt response. Later retrieval should verify both canonical and noncanonical PIK3CA contexts, but claim verification should reject statements that treat PIK3CA positivity alone as proof of sensitivity or resistance. Full text may be needed for biomarker subgroup details, testing methods, co-alterations, and clinical context. Later stages should convert this subsection into explicit claims, PubMed queries, access checks, and evidence-priority notes. Claim verification should separate direct resistance evidence from background biology, trial context, and plausible but unproven combination rationale. Andre et al., SOLAR-1 alpelisib plus fulvestrant in PIK3CA-mutated advanced breast cancer PMID 31091374 DOI 10.1056/NEJMoa1813904 Genomic determinants of response to alpelisib plus fulvestrant in SOLAR-1 PMID 41967638 DOI 10.1016/j.annonc.2026.04.003 Extended spectrum of PIK3CA mutations detected in breast carcinoma PMID 36321996 PIK3CA Alteration As Entry Point, Not Resistance Explanation 1: Clinical And Pharmacologic Frame",text-embedding-3-small,80,80
SUB002,1: Clinical And Pharmacologic Frame,Approved Alpelisib Benefit And The Durability Problem,draft_subsection_prose + citation_clues + subsection_title + chapter_title,"Alpelisib established that selective PI3K-alpha inhibition can be clinically useful, but the same clinical experience makes the durability problem visible. A median progression-free survival benefit does not imply durable disease control for all patients, and progression after benefit may reflect acquired tumor evolution, pre-existing resistant subclones, endocrine partner failure, incomplete pathway suppression, or treatment interruption due to adverse events. Resistance review language should preserve these alternatives rather than assigning every progression event to a single biological mechanism. Safety and pharmacology are part of the resistance frame because dose intensity and tolerability can shape apparent efficacy. Hyperglycemia, rash, diarrhea, and discontinuation are not tumor resistance, but they may reduce exposure and complicate comparisons among inhibitors. Later stages should retrieve trial reports and toxicity-management papers while keeping supportive-care claims separate from mechanistic resistance claims. Later stages should convert this subsection into explicit claims, PubMed queries, access checks, and evidence-priority notes. Claim verification should separate direct resistance evidence from background biology, trial context, and plausible but unproven combination rationale. Andre et al., SOLAR-1 primary report PMID 31091374 DOI 10.1056/NEJMoa1813904 Andre et al., SOLAR-1 final overall survival PMID 33246021 DOI 10.1016/j.annonc.2020.11.011 Approved Alpelisib Benefit And The Durability Problem 1: Clinical And Pharmacologic Frame",text-embedding-3-small,80,80
SUB003,2: Inhibitor Landscape And Therapeutic Index,Inavolisib And The Clinical Triplet Context,draft_subsection_prose + citation_clues + subsection_title + chapter_title,"Inavolisib should be reviewed as a clinically advanced PI3K-alpha inhibitor in a specific regimen, not as generic proof that next-generation inhibitors overcome alpelisib resistance. INAVO120 tested inavolisib with palbociclib and fulvestrant in endocrine-resistant, PIK3CA-mutated HR-positive/HER2-negative advanced breast cancer, and PubMed-indexed reports describe clinically meaningful PFS and OS outcomes. Those data are central to the inhibitor landscape and to combination strategy, but they do not automatically establish a post-alpelisib resistance solution unless the treated population and prior PI3K-alpha inhibitor exposure support that claim. The review should separate four claims: inavolisib efficacy in its studied setting, safety/tolerability versus other inhibitors, mechanistic features of mutant p110-alpha targeting or degradation, and ability to overcome defined resistance mechanisms. Later verification should inspect eligibility, prior adjuvant endocrine therapy, CDK4/6 inhibitor exposure, biomarker testing, adverse events, and whether progression samples define resistance mechanisms. Later stages should convert this subsection into explicit claims, PubMed queries, access checks, and evidence-priority notes. Claim verification should separate direct resistance evidence from background biology, trial context, and plausible but unproven combination rationale. Overall survival with inavolisib in PIK3CA-mutated advanced breast cancer PMID 40454641 FDA approval summary for inavolisib with palbociclib and fulvestrant PMID 40845250 DOI 10.1200/JCO-25-00663 Inavolisib review in HR-positive/HER2-negative breast cancer PMID 42496151 DOI 10.1080/17425255.2026.2710110 Inavolisib And The Clinical Triplet Context 2: Inhibitor Landscape And Therapeutic Index",text-embedding-3-small,80,80
SUB004,2: Inhibitor Landscape And Therapeutic Index,"STX-478, RLY-2608, And Mutant-Selective Hypotheses",draft_subsection_prose + citation_clues + subsection_title + chapter_title,"STX-478 and RLY-2608 are important because they ask whether inhibitor design can improve the therapeutic index or overcome specific resistance mutations. A mutant-selective or allosteric inhibitor might spare wild-type PI3K-alpha biology, reduce hyperglycemia, allow deeper pathway suppression, or retain potency against secondary mutations that impair orthosteric inhibitors. Those are distinct hypotheses requiring different evidence: biochemical selectivity, cellular pharmacodynamics, animal tolerability, clinical dose exposure, and acquired-resistance models. The initial draft should avoid implying that investigational agents have already solved clinical resistance. Later PubMed retrieval should search both name variants and broader terms such as allosteric PI3K-alpha inhibitor and mutant-selective PI3K-alpha inhibitor. Full text is likely required because abstracts may not specify binding mode, mutation panels, clinical dose relevance, or whether models represent acquired resistance after PI3K-alpha inhibitor exposure. Later stages should convert this subsection into explicit claims, PubMed queries, access checks, and evidence-priority notes. Claim verification should separate direct resistance evidence from background biology, trial context, and plausible but unproven combination rationale. STX-478, RLY-2608, And Mutant-Selective Hypotheses 2: Inhibitor Landscape And Therapeutic Index",text-embedding-3-small,80,80
SUB005,3: Genetic And Pathway Reactivation Mechanisms,PTEN Loss And p110-beta Compensation,draft_subsection_prose + citation_clues + subsection_title + chapter_title,"PTEN loss is a central resistance candidate because it can restore downstream pathway signaling despite PI3K-alpha inhibition. The strongest draft anchor is the patient-derived BYL719 resistance study in which metastatic lesions evolved convergent PTEN loss after response, with functional work supporting resistance and reversal through p110-beta blockade. This is unusually direct evidence because it links treatment exposure, progression, tumor evolution, and model-based rescue. Verification should still avoid making PTEN loss universal. Baseline PTEN loss, acquired PTEN loss, PTEN protein suppression, and post-translational PTEN inactivation are different evidence classes. A resistance claim should specify whether PTEN alteration appears after therapy, whether pathway output persists, whether p110-beta or AKT/mTOR signaling is implicated, and whether combination rescue was tested. Patient evidence and model evidence should be presented separately. Later stages should convert this subsection into explicit claims, PubMed queries, access checks, and evidence-priority notes. Claim verification should separate direct resistance evidence from background biology, trial context, and plausible but unproven combination rationale. Juric et al., convergent loss of PTEN and resistance to PI(3)K-alpha inhibition PMID 25409150 DOI 10.1038/nature13948 PTEN Loss And p110-beta Compensation 3: Genetic And Pathway Reactivation Mechanisms",text-embedding-3-small,80,80
SUB006,3: Genetic And Pathway Reactivation Mechanisms,Secondary PIK3CA Mutations And On-Target Resistance,draft_subsection_prose + citation_clues + subsection_title + chapter_title,"Secondary PIK3CA mutations are conceptually attractive because they could directly alter inhibitor binding or kinase regulation. For PI3K-alpha inhibitors, the review should separate acquired secondary mutations from baseline multiple PIK3CA mutations that may instead mark stronger pathway dependence. It should also distinguish orthosteric ATP-competitive inhibitor resistance from sensitivity to allosteric or mutant-selective inhibitors. Later retrieval should search for patient ctDNA, biopsy, and model papers that identify secondary PIK3CA mutations after alpelisib, inavolisib, or related inhibitor exposure. Full text will likely be needed to determine allele phase, baseline absence, timing of emergence, co-occurring PTEN or AKT alterations, and cross-drug sensitivity. Claims about RLY-2608 overcoming secondary PIK3CA mutations should be narrow unless supported by clinical post-progression evidence. Later stages should convert this subsection into explicit claims, PubMed queries, access checks, and evidence-priority notes. Claim verification should separate direct resistance evidence from background biology, trial context, and plausible but unproven combination rationale. Secondary PIK3CA Mutations And On-Target Resistance 3: Genetic And Pathway Reactivation Mechanisms",text-embedding-3-small,80,80
SUB007,3: Genetic And Pathway Reactivation Mechanisms,AKT/mTOR Output Persistence,draft_subsection_prose + citation_clues + subsection_title + chapter_title,"Some resistant tumors may escape PI3K-alpha inhibition by maintaining signaling downstream of PI3K. This can involve activating AKT alterations, p110-beta-driven AKT reactivation, mTORC1 activation, nutrient-sensing pathway alterations, or feedback loops that preserve pS6 and p4E-BP1 even when pAKT is suppressed. The key review task is to avoid treating all pathway rebound as the same mechanism. Verification should require timing and perturbation. A claim that AKT/mTOR compensation mediates resistance should show drug exposure, persistent or rebounding pathway output, and ideally genetic or pharmacologic rescue. Combination trials with AKT or mTOR inhibitors should be interpreted carefully: clinical benefit of a combination can support pathway rationale, but it does not prove the combination overcame acquired PI3K-alpha inhibitor resistance unless prior exposure and resistance context are explicit. Later stages should convert this subsection into explicit claims, PubMed queries, access checks, and evidence-priority notes. Claim verification should separate direct resistance evidence from background biology, trial context, and plausible but unproven combination rationale. AKT/mTOR Output Persistence 3: Genetic And Pathway Reactivation Mechanisms",text-embedding-3-small,80,80
SUB008,"4: Bypass, Cellular State, And Tumor Context","RTK, HER-family, IGF1R, And MAPK/ERK Bypass",draft_subsection_prose + citation_clues + subsection_title + chapter_title,"Bypass signaling is likely to be one of the broadest resistance categories. Receptor tyrosine kinases can restore PI3K pathway signaling, activate MAPK/ERK, or create parallel survival circuits when PI3K-alpha is inhibited. HER-family signaling, EGFR, IGF1R, FGFR, c-MET, and other RTKs should be considered only when linked to PI3K-alpha inhibitor exposure, pathway rebound, reduced sensitivity, or combination rescue. The review must distinguish evidence from breast cancer, colorectal cancer, head and neck cancer, and other tumor models. Pan-PI3K or dual PI3K/mTOR studies can inform biology, but they should not be silently substituted for alpha-selective inhibitor evidence. Later stages should retrieve studies that test PI3K-alpha inhibitors with HER2, EGFR, IGF1R, MEK, ERK, or SHP2 blockade and should classify whether the evidence is direct resistance, combination rationale, or background crosstalk. Later stages should convert this subsection into explicit claims, PubMed queries, access checks, and evidence-priority notes. Claim verification should separate direct resistance evidence from background biology, trial context, and plausible but unproven combination rationale. RTK, HER-family, IGF1R, And MAPK/ERK Bypass 4: Bypass, Cellular State, And Tumor Context",text-embedding-3-small,80,80
SUB009,"4: Bypass, Cellular State, And Tumor Context",Endocrine Therapy Crosstalk And Prior CDK4/6 Exposure,draft_subsection_prose + citation_clues + subsection_title + chapter_title,"Most approved clinical use of PI3K-alpha inhibition sits inside endocrine-resistant HR-positive breast cancer, so endocrine biology is not background noise. ESR1 alterations, ER signaling adaptation, CDK4/6 inhibitor exposure, and endocrine partner choice can change the meaning of response and progression. A tumor progressing on alpelisib plus fulvestrant may reflect PI3K-alpha escape, endocrine resistance, or both. Clinical trial interpretation should therefore track prior therapy and regimen. SOLAR-1, BYLieve, INAVO120, and related studies differ in population, prior CDK4/6 exposure, treatment line, endocrine partner, and combination design. Later claim verification should reject cross-trial comparisons that ignore these differences. Full text is likely required for eligibility, subgroup results, and sequencing details. Later stages should convert this subsection into explicit claims, PubMed queries, access checks, and evidence-priority notes. Claim verification should separate direct resistance evidence from background biology, trial context, and plausible but unproven combination rationale. Andre et al., SOLAR-1 alpelisib plus fulvestrant PMID 31091374 DOI 10.1056/NEJMoa1813904 Overall survival with inavolisib in PIK3CA-mutated advanced breast cancer PMID 40454641 Endocrine Therapy Crosstalk And Prior CDK4/6 Exposure 4: Bypass, Cellular State, And Tumor Context",text-embedding-3-small,80,80
SUB010,"4: Bypass, Cellular State, And Tumor Context","Heterogeneity, Clonal Selection, And Patient-Derived Evidence",draft_subsection_prose + citation_clues + subsection_title + chapter_title,"Resistance in patients may not follow one linear pathway. Separate metastatic lesions can evolve distinct genetic solutions; ctDNA can reveal convergent pathway alterations; and baseline subclones may expand under therapy. This is one reason patient-derived evidence should be weighted heavily when available. A mechanism seen in a cell line becomes more compelling when paired with temporal patient sampling and functional rescue. The review should rank evidence by directness: serial patient specimens and resistance-selected models are stronger than untreated tumor profiling; single-patient rapid autopsy can be mechanistically rich but not prevalence-estimating; ctDNA cohorts can show recurrence but may miss spatial heterogeneity. Later stages should preserve uncertainty about how common each mechanism is and whether mechanisms differ across breast cancer, gynecologic cancer, colorectal cancer, and other tumors. Later stages should convert this subsection into explicit claims, PubMed queries, access checks, and evidence-priority notes. Claim verification should separate direct resistance evidence from background biology, trial context, and plausible but unproven combination rationale. Juric et al., convergent PTEN loss under BYL719 pressure PMID 25409150 DOI 10.1038/nature13948 Heterogeneity, Clonal Selection, And Patient-Derived Evidence 4: Bypass, Cellular State, And Tumor Context",text-embedding-3-small,80,80
