subsection_id,chapter_title,subsection_title,normalized_path,assembled_section_path,citation_count,assembly_status,notes
SUB001,1: Clinical And Pharmacologic Frame,"PIK3CA Alteration As Entry Point, Not Resistance Explanation",artifacts/08_terminology_normalization/03_normalized_subsections/SUB001.md,artifacts/09_review_assembly/02_sections/SUB001.assembled.md,7,assembled,Assembled from normalized Stage 9 subsection without adding new scientific claims.
SUB002,1: Clinical And Pharmacologic Frame,Approved Alpelisib Benefit And The Durability Problem,artifacts/08_terminology_normalization/03_normalized_subsections/SUB002.md,artifacts/09_review_assembly/02_sections/SUB002.assembled.md,7,assembled,Assembled from normalized Stage 9 subsection without adding new scientific claims.
SUB003,2: Inhibitor Landscape And Therapeutic Index,Inavolisib And The Clinical Triplet Context,artifacts/08_terminology_normalization/03_normalized_subsections/SUB003.md,artifacts/09_review_assembly/02_sections/SUB003.assembled.md,7,assembled,Assembled from normalized Stage 9 subsection without adding new scientific claims.
SUB004,2: Inhibitor Landscape And Therapeutic Index,"STX-478, RLY-2608, And Mutant-Selective Hypotheses",artifacts/08_terminology_normalization/03_normalized_subsections/SUB004.md,artifacts/09_review_assembly/02_sections/SUB004.assembled.md,5,assembled,Assembled from normalized Stage 9 subsection without adding new scientific claims.
SUB005,3: Genetic And Pathway Reactivation Mechanisms,PTEN Loss And p110-beta Compensation,artifacts/08_terminology_normalization/03_normalized_subsections/SUB005.md,artifacts/09_review_assembly/02_sections/SUB005.assembled.md,7,assembled,Assembled from normalized Stage 9 subsection without adding new scientific claims.
SUB006,3: Genetic And Pathway Reactivation Mechanisms,Secondary PIK3CA Mutations And On-Target Resistance,artifacts/08_terminology_normalization/03_normalized_subsections/SUB006.md,artifacts/09_review_assembly/02_sections/SUB006.assembled.md,7,assembled,Assembled from normalized Stage 9 subsection without adding new scientific claims.
SUB007,3: Genetic And Pathway Reactivation Mechanisms,AKT/mTOR Output Persistence,artifacts/08_terminology_normalization/03_normalized_subsections/SUB007.md,artifacts/09_review_assembly/02_sections/SUB007.assembled.md,8,assembled,Assembled from normalized Stage 9 subsection without adding new scientific claims.
SUB008,"4: Bypass, Cellular State, And Tumor Context","RTK, HER-family, IGF1R, And MAPK/ERK Bypass",artifacts/08_terminology_normalization/03_normalized_subsections/SUB008.md,artifacts/09_review_assembly/02_sections/SUB008.assembled.md,8,assembled,Assembled from normalized Stage 9 subsection without adding new scientific claims.
SUB009,"4: Bypass, Cellular State, And Tumor Context",Endocrine Therapy Crosstalk And Prior CDK4/6 Exposure,artifacts/08_terminology_normalization/03_normalized_subsections/SUB009.md,artifacts/09_review_assembly/02_sections/SUB009.assembled.md,11,assembled,Assembled from normalized Stage 9 subsection without adding new scientific claims.
SUB010,"4: Bypass, Cellular State, And Tumor Context","Heterogeneity, Clonal Selection, And Patient-Derived Evidence",artifacts/08_terminology_normalization/03_normalized_subsections/SUB010.md,artifacts/09_review_assembly/02_sections/SUB010.assembled.md,14,assembled,Assembled from normalized Stage 9 subsection without adding new scientific claims.
SUB011,"5: Clinical Trials, Combinations, And Evidence Synthesis","Reading Successful, Failed, And Combination Trials",artifacts/08_terminology_normalization/03_normalized_subsections/SUB011.md,artifacts/09_review_assembly/02_sections/SUB011.assembled.md,10,assembled,Assembled from normalized Stage 9 subsection without adding new scientific claims.
SUB012,"5: Clinical Trials, Combinations, And Evidence Synthesis",Biomarkers And Practical Resistance Taxonomy,artifacts/08_terminology_normalization/03_normalized_subsections/SUB012.md,artifacts/09_review_assembly/02_sections/SUB012.assembled.md,10,assembled,Assembled from normalized Stage 9 subsection without adding new scientific claims.
